Date,30Price,30Open,30High,30Low,30Vol.,30Change %
"Aug 29, 2018",143.88,143.75,144.0,143.72,-,0.09%
"Aug 28, 2018",143.75,144.31,144.44,143.56,-,-0.94%
"Aug 27, 2018",145.12,145.88,145.91,145.06,437.52K,-0.32%
"Aug 24, 2018",145.59,145.47,145.91,145.09,428.35K,-0.05%
"Aug 23, 2018",145.66,145.47,145.75,145.38,296.43K,0.13%
"Aug 22, 2018",145.47,145.34,145.75,145.19,310.65K,0.24%
"Aug 21, 2018",145.12,145.47,145.53,144.84,270.29K,-0.24%
"Aug 20, 2018",145.47,144.69,145.56,144.59,236.94K,0.65%
"Aug 17, 2018",144.53,144.62,145.09,144.47,232.30K,0.00%
"Aug 16, 2018",144.53,144.56,144.72,144.16,219.00K,-0.15%
"Aug 15, 2018",144.75,143.91,145.0,143.88,311.66K,0.50%
"Aug 14, 2018",144.03,144.19,144.41,143.84,246.19K,-0.19%
"Aug 13, 2018",144.31,144.56,144.78,144.03,368.90K,-0.24%
"Aug 10, 2018",144.66,143.44,144.69,143.38,383.97K,0.96%
"Aug 09, 2018",143.28,142.72,143.53,142.59,290.27K,0.46%
"Aug 08, 2018",142.62,142.59,142.91,142.34,208.49K,0.02%
"Aug 07, 2018",142.59,143.12,143.28,142.47,192.83K,-0.46%
"Aug 06, 2018",143.25,142.97,143.56,142.88,218.35K,0.20%
"Aug 03, 2018",142.97,142.44,143.06,142.28,238.99K,0.37%
"Aug 02, 2018",142.44,142.19,142.78,142.06,270.25K,0.15%
"Aug 01, 2018",142.22,143.0,143.28,141.84,307.33K,-0.52%
"Jul 31, 2018",142.97,142.59,143.5,142.56,472.84K,0.25%
"Jul 30, 2018",142.62,143.0,143.0,142.38,234.94K,-0.22%
"Jul 27, 2018",142.94,142.66,143.25,142.5,256.56K,0.18%
"Jul 26, 2018",142.69,142.72,143.25,142.56,251.58K,-0.50%
"Jul 25, 2018",143.41,143.12,143.59,142.62,332.13K,0.15%
"Jul 24, 2018",143.19,143.0,143.25,142.66,298.12K,0.27%
"Jul 23, 2018",142.81,144.31,144.38,142.78,356.30K,-0.96%
"Jul 20, 2018",144.19,145.41,145.5,144.12,307.01K,-0.75%
"Jul 19, 2018",145.28,144.81,145.56,144.38,288.23K,0.39%
"Jul 18, 2018",144.72,145.06,145.34,144.56,186.71K,-0.21%
"Jul 17, 2018",145.03,145.19,145.38,144.88,168.26K,-0.06%
"Jul 16, 2018",145.12,145.72,145.75,144.72,243.22K,-0.39%
"Jul 13, 2018",145.69,145.41,145.78,145.22,168.39K,0.28%
"Jul 12, 2018",145.28,145.34,145.44,145.0,209.48K,-0.13%
"Jul 11, 2018",145.47,145.34,145.75,145.09,266.22K,0.32%
"Jul 10, 2018",145.0,145.16,145.31,144.94,201.50K,-0.08%
"Jul 09, 2018",145.12,145.84,145.88,145.09,163.30K,-0.37%
"Jul 06, 2018",145.66,145.62,146.34,145.38,210.53K,0.11%
"Jul 05, 2018",145.5,145.41,145.78,144.84,235.43K,0.15%
"Jul 04, 2018",145.28,145.41,145.44,145.16,-,-0.04%
"Jul 03, 2018",145.34,144.72,145.47,144.5,199.89K,0.41%
"Jul 02, 2018",144.75,144.84,145.41,144.66,191.54K,-0.17%
"Jun 29, 2018",145.0,145.19,145.5,144.69,336.08K,0.02%
"Jun 28, 2018",144.97,145.25,145.34,144.91,236.36K,-0.21%
"Jun 27, 2018",145.28,144.25,145.34,144.16,347.14K,0.71%
"Jun 26, 2018",144.25,144.28,144.53,143.94,226.79K,-0.06%
"Jun 25, 2018",144.34,144.0,144.56,143.97,234.10K,0.26%
"Jun 22, 2018",143.97,143.91,144.09,143.41,193.54K,0.00%
"Jun 21, 2018",143.97,143.19,144.12,143.03,289.87K,-0.37%
"Jun 20, 2018",144.5,144.94,144.94,144.78,0.35K,-0.30%
"Jun 19, 2018",144.94,144.62,145.56,144.62,3.16K,0.37%
"Jun 18, 2018",144.41,144.69,144.94,144.34,1.67K,-0.06%
"Jun 15, 2018",144.5,144.28,145.03,144.19,2.86K,0.26%
"Jun 14, 2018",144.12,143.94,144.38,143.75,1.28K,0.47%
"Jun 13, 2018",143.44,143.72,143.91,142.94,5.41K,-0.22%
"Jun 12, 2018",143.75,143.66,143.84,143.22,1.78K,0.06%
"Jun 11, 2018",143.66,143.94,143.94,143.44,1.46K,-0.26%
"Jun 08, 2018",144.03,144.22,144.78,143.88,4.57K,-0.06%
"Jun 07, 2018",144.12,143.25,144.78,142.91,3.61K,0.61%
"Jun 06, 2018",143.25,144.12,144.19,143.12,10.44K,-0.73%
"Jun 05, 2018",144.31,144.03,144.72,144.03,11.55K,0.13%
"Jun 04, 2018",144.12,144.69,144.81,143.91,26.18K,-0.48%
"Jun 01, 2018",144.81,145.34,145.47,144.28,27.81K,-0.82%
"May 31, 2018",146.0,145.19,146.03,144.81,65.41K,0.39%
"May 30, 2018",145.44,146.44,146.72,144.53,444.28K,-0.55%
"May 29, 2018",146.25,143.72,146.5,143.28,1.01M,1.94%
"May 28, 2018",143.47,142.69,143.72,142.47,-,0.57%
"May 27, 2018",142.66,142.75,142.84,142.62,-,-0.72%
"May 25, 2018",143.69,142.81,143.94,142.59,556.54K,0.64%
"May 24, 2018",142.78,142.41,143.19,142.03,614.89K,0.39%
"May 23, 2018",142.22,141.31,142.53,141.25,538.62K,0.69%
"May 22, 2018",141.25,141.34,141.56,141.03,274.12K,-0.02%
"May 21, 2018",141.28,141.03,141.5,140.78,267.68K,0.06%
"May 18, 2018",141.19,140.44,141.38,140.16,302.14K,0.53%
"May 17, 2018",140.44,140.94,141.03,140.28,331.59K,-0.35%
"May 16, 2018",140.94,141.28,141.59,140.81,315.06K,-0.09%
"May 15, 2018",141.06,142.62,142.72,140.81,430.39K,-1.18%
"May 14, 2018",142.75,143.09,143.34,142.56,202.31K,-0.26%
"May 11, 2018",143.12,143.31,143.66,142.91,244.67K,-0.05%
"May 10, 2018",143.19,142.56,143.38,142.53,331.23K,0.37%
"May 09, 2018",142.66,143.22,143.28,142.47,245.47K,-0.50%
"May 08, 2018",143.38,143.47,143.69,142.91,226.34K,-0.13%
"May 07, 2018",143.56,143.47,143.84,143.34,134.98K,-0.07%
"May 04, 2018",143.66,143.5,144.25,143.16,244.05K,0.07%
"May 03, 2018",143.56,143.09,143.94,142.91,278.11K,0.22%
"May 02, 2018",143.25,143.31,143.56,142.69,295.05K,0.06%
"May 01, 2018",143.16,143.41,143.62,142.97,252.82K,-0.47%
"Apr 30, 2018",143.84,143.16,143.88,142.94,284.73K,0.41%
"Apr 27, 2018",143.25,142.56,143.28,142.5,219.62K,0.61%
"Apr 26, 2018",142.38,141.78,142.62,141.59,222.75K,0.44%
"Apr 25, 2018",141.75,142.28,142.5,141.53,273.12K,-0.55%
"Apr 24, 2018",142.53,142.94,143.28,142.28,285.84K,-0.31%
"Apr 23, 2018",142.97,142.97,143.06,142.28,227.91K,-0.08%
"Apr 20, 2018",143.09,143.84,143.97,142.91,241.14K,-0.48%
"Apr 19, 2018",143.78,144.78,144.94,143.38,374.11K,-0.80%
"Apr 18, 2018",144.94,145.59,145.84,144.66,283.77K,-0.75%
"Apr 17, 2018",146.03,145.47,146.06,145.22,242.53K,0.38%
"Apr 16, 2018",145.47,145.38,145.56,144.66,238.10K,0.04%
"Apr 13, 2018",145.41,145.28,145.78,145.19,223.55K,0.02%
"Apr 12, 2018",145.38,146.31,146.44,145.09,275.86K,-0.51%
"Apr 11, 2018",146.12,145.72,146.88,145.59,310.11K,0.12%
"Apr 10, 2018",145.94,146.09,146.25,145.53,257.17K,-0.08%
"Apr 09, 2018",146.06,146.0,146.31,145.44,223.65K,0.02%
"Apr 06, 2018",146.03,144.88,146.12,144.81,326.34K,0.77%
"Apr 05, 2018",144.91,145.47,145.5,144.78,213.96K,-0.56%
"Apr 04, 2018",145.72,145.94,146.56,145.38,296.32K,-0.11%
"Apr 03, 2018",145.88,146.84,146.88,145.69,289.00K,-0.59%
"Apr 02, 2018",146.75,146.28,147.09,145.97,191.30K,0.09%
"Mar 29, 2018",146.62,145.69,146.75,145.59,291.84K,0.51%
"Mar 28, 2018",145.88,145.72,146.31,145.41,347.11K,0.18%
"Mar 27, 2018",145.62,144.44,145.88,144.34,332.67K,0.62%
"Mar 26, 2018",144.72,144.88,145.12,144.22,241.76K,0.00%
"Mar 23, 2018",144.72,144.78,145.41,144.19,298.40K,-0.02%
