Date,10Price,10Open,10High,10Low,10Vol.,10Change %
"Aug 29, 2018",120.08,120.03,120.11,120.02,-,0.04%
"Aug 28, 2018",120.03,120.22,120.28,119.94,-,-0.26%
"Aug 27, 2018",120.34,120.61,120.66,120.31,1.69M,-0.15%
"Aug 24, 2018",120.52,120.52,120.62,120.36,1.89M,-0.06%
"Aug 23, 2018",120.59,120.61,120.7,120.5,1.38M,-0.02%
"Aug 22, 2018",120.62,120.58,120.75,120.52,1.43M,0.14%
"Aug 21, 2018",120.45,120.67,120.69,120.39,1.32M,-0.14%
"Aug 20, 2018",120.62,120.33,120.69,120.28,1.29M,0.31%
"Aug 17, 2018",120.25,120.31,120.5,120.22,1.31M,-0.02%
"Aug 16, 2018",120.27,120.33,120.41,120.11,1.25M,-0.14%
"Aug 15, 2018",120.44,120.06,120.56,120.05,1.83M,0.27%
"Aug 14, 2018",120.11,120.16,120.25,120.03,1.29M,-0.12%
"Aug 13, 2018",120.25,120.31,120.48,120.12,2.08M,-0.11%
"Aug 10, 2018",120.38,119.75,120.41,119.73,2.34M,0.55%
"Aug 09, 2018",119.72,119.53,119.8,119.5,1.14M,0.18%
"Aug 08, 2018",119.5,119.47,119.59,119.39,987.42K,0.03%
"Aug 07, 2018",119.47,119.7,119.75,119.41,840.02K,-0.22%
"Aug 06, 2018",119.73,119.61,119.84,119.53,905.78K,0.10%
"Aug 03, 2018",119.61,119.3,119.64,119.23,1.28M,0.23%
"Aug 02, 2018",119.33,119.17,119.38,119.11,1.31M,0.13%
"Aug 01, 2018",119.17,119.41,119.56,119.08,1.50M,-0.21%
"Jul 31, 2018",119.42,119.38,119.66,119.34,1.92M,0.03%
"Jul 30, 2018",119.38,119.48,119.48,119.25,1.05M,-0.05%
"Jul 27, 2018",119.44,119.33,119.52,119.25,1.27M,0.08%
"Jul 26, 2018",119.34,119.38,119.56,119.28,1.48M,-0.27%
"Jul 25, 2018",119.66,119.55,119.7,119.33,1.67M,0.08%
"Jul 24, 2018",119.56,119.56,119.64,119.39,1.31M,0.07%
"Jul 23, 2018",119.48,120.02,120.11,119.45,1.63M,-0.42%
"Jul 20, 2018",119.98,120.33,120.38,119.95,1.33M,-0.27%
"Jul 19, 2018",120.3,120.08,120.42,119.86,1.76M,0.20%
"Jul 18, 2018",120.06,120.11,120.25,120.0,866.20K,-0.05%
"Jul 17, 2018",120.12,120.19,120.25,120.03,818.76K,-0.04%
"Jul 16, 2018",120.17,120.39,120.39,120.0,878.76K,-0.16%
"Jul 13, 2018",120.36,120.22,120.39,120.12,822.69K,0.17%
"Jul 12, 2018",120.16,120.17,120.25,120.02,998.98K,-0.07%
"Jul 11, 2018",120.25,120.23,120.41,120.08,1.59M,0.19%
"Jul 10, 2018",120.02,120.12,120.2,120.0,1.01M,-0.08%
"Jul 09, 2018",120.12,120.38,120.39,120.09,804.79K,-0.18%
"Jul 06, 2018",120.34,120.34,120.62,120.2,992.18K,0.07%
"Jul 05, 2018",120.25,120.34,120.42,120.09,1.17M,-0.02%
"Jul 04, 2018",120.27,120.34,120.34,120.22,-,-0.03%
"Jul 03, 2018",120.31,120.03,120.38,119.94,1.04M,0.19%
"Jul 02, 2018",120.08,120.12,120.44,120.03,1.07M,-0.09%
"Jun 29, 2018",120.19,120.27,120.3,120.06,1.40M,0.00%
"Jun 28, 2018",120.19,120.38,120.45,120.16,1.41M,-0.17%
"Jun 27, 2018",120.39,119.98,120.41,119.94,1.90M,0.32%
"Jun 26, 2018",120.0,119.95,120.11,119.83,1.06M,-0.02%
"Jun 25, 2018",120.03,119.86,120.14,119.86,1.50M,0.17%
"Jun 22, 2018",119.83,119.84,119.91,119.64,937.37K,-0.03%
